model,seed,metric,value
linear_probe_3,0,leaf_accuracy,0.6153846153846154
linear_probe_3,0,leaf_macro_f1,0.5904733844698845
linear_probe_3,0,h_micro_p,0.7507418397626113
linear_probe_3,0,h_micro_r,0.7441176470588236
linear_probe_3,0,h_micro_f1,0.7474150664697194
linear_probe_3,0,h_samples_f1,0.7479487179487179
linear_probe_3,0,h_macro_f1,0.6636267258472087
linear_probe_3,0,hf1_auc,0.5486091676894546
linear_probe_3,1,leaf_accuracy,0.7076923076923077
linear_probe_3,1,leaf_macro_f1,0.7045822011714512
linear_probe_3,1,h_micro_p,0.8259587020648967
linear_probe_3,1,h_micro_r,0.8235294117647058
linear_probe_3,1,h_micro_f1,0.8247422680412372
linear_probe_3,1,h_samples_f1,0.8269230769230769
linear_probe_3,1,h_macro_f1,0.7708287205501458
linear_probe_3,1,hf1_auc,0.5748687156860235
linear_probe_3,2,leaf_accuracy,0.6923076923076923
linear_probe_3,2,leaf_macro_f1,0.680943500943501
linear_probe_3,2,h_micro_p,0.8318318318318318
linear_probe_3,2,h_micro_r,0.8147058823529412
linear_probe_3,2,h_micro_f1,0.8231797919762259
linear_probe_3,2,h_samples_f1,0.8225641025641026
linear_probe_3,2,h_macro_f1,0.7515827524641083
linear_probe_3,2,hf1_auc,0.5713881420315987
linear_probe_3,3,leaf_accuracy,0.6076923076923076
linear_probe_3,3,leaf_macro_f1,0.6034426100215574
linear_probe_3,3,h_micro_p,0.7434402332361516
linear_probe_3,3,h_micro_r,0.75
linear_probe_3,3,h_micro_f1,0.746705710102489
linear_probe_3,3,h_samples_f1,0.7497435897435898
linear_probe_3,3,h_macro_f1,0.6714400719757139
linear_probe_3,3,hf1_auc,0.5587860416262268
linear_probe_3,4,leaf_accuracy,0.6153846153846154
linear_probe_3,4,leaf_macro_f1,0.587444920469036
linear_probe_3,4,h_micro_p,0.7469879518072289
linear_probe_3,4,h_micro_r,0.7294117647058823
linear_probe_3,4,h_micro_f1,0.7380952380952379
linear_probe_3,4,h_samples_f1,0.7415384615384616
linear_probe_3,4,h_macro_f1,0.6550411577351717
linear_probe_3,4,hf1_auc,0.5736587669153459
