_id,leaf_label,pred,text
35,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Investment-Fraud/Other-Investment-Fraud,"The only ""ID"" of the scammer I have is their Bitcoin account (mail claims to come from my own address)
1DwPNjUKiUi9HZNC3xAeKgfYX1D3ks1Gjt

Would it be helpful if I forward the scam mail to an address of yours?"
38,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Investment-Fraud/Pig-Butchering,"somebody claims that he installed Pegasus spy ware on my computers and smartphones and recorded some compromising videos which may be available to my all contacts on WhatsApp, Telegram, email etc.. if I do not transfer money to a Litecoin account within 48 hours."
34,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Classified-Ad-Phishing,"Thank you for looking into this. The problem I see here is the person sent the message from my own account.
Thank you for providing the help needed
Marcel"
28,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Refund-Phishing,"Hello, 

I've received again an email with the same content as last week. This time it came from a different email address and it has a PDF attachment which I didn't open. In the email message it writes my name, full home addrress and telephone number. I have blocked the sender, but it seems they will keep sending me emails. How many more should I expect?"
31,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"Hi, my prey.This is my last warning.

I write you since I attached a tr ojan on the web site with porno which you have viewed. My troj an captured all your private data and switched on your camera which recorded the act of your solitary s ex. Just after that the t rojan saved your contact list. I will erase the compromising video records and info if you transfer $750 in bi tcoin.

This is address for payment: bc1q75p32fvf603grheeeawdl3skz2m6lhpfz9xk3r

I give you 24 hours after you open my message for making the payment. As soon as you read the message I'll see it right away. It is not necessary to tell me that you have sent money to me. This address is connected to you, my system will erased automatically after transfer confirmation.

If you need 42h just Open the calculator and type +,+

If you don't pay, I'll send dirt to all your contacts. Let me remind you - I see what you're doing. If you try to decieve me, I'll know it immediately. I don't live in your country. Bye. Don't forget about the shame and to ignore, your life can be ruined."
36,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Support/Popup,The „Scammer“ is trying to press money from me. the Scammer said they have haked my Devices and installed A Spyware named Pegasus
226,Fraud/Fake-Sextortion/With-Password,Phishing/Other-Phishing,"Subject: A b 0ut your p@ ssw0rd

H ell o.

I'll s kip the s ma ll t alk. I kn ow your p ass w0rd: Nikita_2011

A few mon ths ag o I in stalled a tr ojan on your dev ice. Sin ce then I've been wat ching ev erything you do.

I have c lips of you wat ching v ery pr ivate co ntent. I have your full co ntact li st. I will sh are them with ev eryone you kn ow if you d0n't pay.

Pric e: 850 USD in bi tcoin
Walle t: bc1qm2p7f8nk4xj3rd9hwytv6sql0eahbcz8ognfup
Dea dline: 24 hou rs

Y0u think t his is a sc am? Tr y me. You don't w ant to find out.

D0n't repl y. D0n't ch ange p ass words now (i've alr eady c0pied all of th em)."
216,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Support/Popup,"Dear julesou@bluemail.ch,



I regret to inform you that there has been a security breach involving the devices you use for internet browsing.



Several months ago, unauthorized access was gained to these devices, allowing me to monitor your internet activity. Recently, I managed to hack your email accounts, including your password: MArcel2342.



Furthermore, a Trojan virus has been installed on all devices you use to access email. This was made possible due to your clicking on links from emails in your mailbox, which facilitated my penetration into your systems. Through this malicious software, I gained access to various features of your devices, such as the microphone, video camera, and keyboard. Additionally, I extracted and stored your personal information, data, photos, and web browsing history on my servers. Moreover, I gained access to your messengers, social networks, email, chat history, and contact list.



To remain undetected, my virus continuously updates its signatures, making it invisible to antivirus software.



During my investigation, I discovered that you frequently visit adult websites and view explicit content. I managed to record your intimate moments and create a montage showcasing them. If you doubt the authenticity of my claims, I can easily share these videos with your friends, colleagues, and relatives, or even make them publicly accessible.



I am convinced that it is in your best interest to prevent the disclosure of this information, given the potential consequences. Therefore, I propose the following solution: transfer $500 USD to my Bitcoin wallet (details provided below), based on the exchange rate at the time of the transaction. After the transfer is completed, all compromising information will be immediately deleted. After this, I will deactivate and remove the malicious software from your devices.



You can be assured that I will uphold my end of the agreement.



Bitcoin wallet: bc1q770895668ysry2l0ezqgjg2cax5e62u6k9vmg0



You have 48 hours. As soon as you open this email, I will receive a notification, and from that moment on, the countdown begins.



If you've never dealt with cryptocurrencies before, it's quite simple. Just type ""cryptocurrency exchange"" into a search engine, and you're good to go.



Please refrain from the following actions:



Replying to this email, as it was created in your mailbox and contains the sender's address.

Contacting the police or other security services. Discussing this situation with friends may lead to immediate public disclosure of the videos.

Attempting to identify me. All cryptocurrency transactions are anonymous.

Reinstalling the operating system or disposing of devices, as the videos are already stored on remote servers.

You need not worry about the following:



Receiving your funds transfer. My malicious program continuously monitors your actions.

Disseminating your videos after the funds transfer is completed. I have no intention of complicating your life further.

Finally, I strongly advise you to avoid similar situations in the future. Regularly change all your passwords to enhance online security."
14,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,My elderly mother received a phone call from someone claiming to be from Swisscom technical support. They told her that her internet connection had been used for illegal activities and that she needed to pay 500 CHF in Neosurf vouchers to avoid prosecution. She bought the vouchers and gave them the codes before my brother intervened. The caller had a Swiss-German accent and knew her first name.
0,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Popup,"A security check from ""Microsoft"" wanted me to give him the access to my computer to get rid of some malware. The person had a strong Indian/Asian accent, was very forceful and even downright rude trying to press me to follow his instructions. I was supposed to immediately install a remote access in his favour, at which point I sent him to blazes (the scam was at that moment too obvious). Anyone else would have complied as the person was very insistent. Quite a cunning scanner. As mentioned before, Microsoft (or another tech company) would NEVER CALL DIRECTLY ITS CUSTOMER."
17,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,"The caller identified himself as a Microsoft Support representative. He spoke in English and it was obvious that he was Indian because of his accent. Call occurred on August 26, 2024 09:02 local time."
201,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Other-Fake-Support,"I have a window that appears (Microsoft Windows) with a spoken message on loop that says my computer has been blocked because an identity theft attempt etc. has been made. I should under no circumstances turn off or restart the computer, and call urgently the displayed number 022 518 63 50.

Impossible to use the mouse. I had to turn off my computer by pressing and holding the key.

This message is very credible. I made a video of this message just in case but cannot attach it here except a photo."
203,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Other-Fake-Support,"Madam, Sir,

I take advantage of this email exchange to inform you of a new computer incident that has just happened to me.

I was consulting the official website of the World Curling Championship currently taking place in Geneva, when the screen suddenly froze, several pages appeared one of which ""informed me that my computer had been blocked as a precaution because there was a risk of hacking..."". This message offered me to contact a free Microsoft service whose phone number was 022 539 44 05. I obviously did not dial this number and turned off my computer. I called Swisscom to find out the holder of this line, without result, it does not correspond to anything.

Do you have the possibility to call this number to find out more???

Thanking you for informing me of the follow-up you will give to this email I send you Madam, Sir, my best regards

PS: After a few minutes I reopened my computer and noted that the situation was back to ""normal"""
11,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Other-Fake-Support,"I was browsing the internet when a pop-up appeared saying my computer was infected and I had to call Microsoft immediately at 0800 123 456. I called and a man with a foreign accent asked me to install a remote access tool called AnyDesk. He then showed me my ""infected"" system files and asked for 250 CHF to clean the computer. I paid by credit card before realizing it was a scam."
211,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Other-Fake-Support,"Hello,

I need to report what happened to me this afternoon. I was reading articles on a gardening blog when suddenly my screen filled with a Microsoft Defender warning. A robotic voice kept repeating that my bank account was at risk and that I had to call +41 22 575 09 88 within five minutes or my account would be frozen by Microsoft.

I am 71 years old and I almost called. My grandson happened to call me about something else and I told him what was happening. He told me to just unplug the computer, which I did. After turning it back on everything was normal.

I want to thank you and also warn others. These people target older folks. The voice was very convincing and the sound of the alarm made me feel I was in real danger.

Regards,
W. Eriksson"
57,Fraud/Investment-Fraud/Other-Investment-Fraud,Phishing/Vishing/Other-Vishing,"This number is calling me everyday and is being very pushy about an investment opportunity and does not take no for an answer. Somehow he managed to call at my work looking for me 

It is a Swiss number +41766668898"
53,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"I invested 250 USD in a trading platform called TPM finance, alledgedly based at Kriesbachstrasse 30, 8600 Dübendorf. I was contacted by an advisor by the name of Thomas Angelo, who proceeded to set up trades on my account. 

After a few weeks  the trading account showed a profit of about 100 USD. The advisor tried to get me to add more money into my account, which, luckily, I refused. When I tried to withdraw the profit, nothing happened. I tried several times to no avail. When I questioned the advisor about it, he became evasive and said he didn't know why it didn't work.

I have since found out via ChatGPT that this site is a scam. I realise that I should have done this before I invested money, my bad. In future I will be more careful."
49,Fraud/Investment-Fraud/Pig-Butchering,Fraud/Investment-Fraud/Other-Investment-Fraud,"Hi. There were actually two fraudulent crypto platforms which were introduced to me. 1. awaves.top 2. dswt-coin.com. In total I have lost about 11.5k$ on both platforms combined. It started with women i met on tinder and we talked about stuff and at some point they (there were two separate women) introduced me to these platforms. It seemed like everything was going well until when the coins were suppose to go public, the platform started mentioning taxes 20% on the profits earned before you can actually start selling these coins. So I didn’t put any further money and now one of the platform is gone (awaves.top) and the other one seems to work on some days and not on some."
85,Malware/Ransomware,Fraud/Investment-Fraud/Other-Investment-Fraud,"I have been a victim of this ransomeware, i realized all my jpg and other document files we encrypted on my qnap SS-839, my only chance i see is to pay in Bitcoin more than 1000chf to be able to get the files back (only maybe)! What do i need to do ? thanks, George"
84,Malware/Ransomware,Fraud/Fake-Sextortion/Other-Fake-Sextortion,"Dear Madam / Sir,
I have just tried to report this through the online form but an error occurred.

I am working in the Modal Assurance team (Risk Management / Security) of flammèche Cosmetics, based in Basel.
During last weekend (31st march / 1st April), 1 database of our Group hosted by Microsoft Azure and containing personal data of customers has been attacked.
The adversary then accessed our mailing system (Sendgrid) and sent an email to some approximately 2,700 of our colleagues, in several waves yesterday and today. The emails were to inform of the attack, and to threaten to sell the stolen data if the company did not pay 45 BTC in ransom. You can find the emails in attachment.
We have established a crisis management team comprising of our internal IT teams in Switzerland and Czech Republic, our IT partners IBM and Microsoft, our Modal Assurance team in Switzerland, our Legal team, our CFO and CEO.

The first elements that we have collected indicate that the attacker compromised one of our web servers via trojans and got access to all data stored there, including credentials such as connection strings to storage accounts where we store documents containing personal data of flammèche Cosmetics customers. We are also able to confirm that the data was indeed downloaded by the adversary and then deleted from the database (approximately 4 TB).
Initial elements seem to indicate that the adversary is located in Russia and has been accessing a server and database primarily dedicated to the operation of our Russia and other ex-Soviet commercial markets.
We have taken immediate measures to limit any further damage. However at this stage we are not able to confirm whether the adversary is still in our infrastructure or not. We are currently informing relevant data protection authorities.
Please note that the data stolen does not concern – as far as we can tell – any Swiss data subjects, as our Group does not run any commercial operations in Switzerland.

Thank you and best regards,
Daniel Ratliff"
98,Phishing/Other-Phishing,Fraud/Investment-Fraud/Pig-Butchering,"I would like to report a phishing attempt.

Phone number: +49 15510 085907

Platform: WhatsApp

The sender contacted me with a suspicious message containing a link impersonating a legitimate service (Tripadvisor / Booking).

Phishing link:

https://tripadvisor.de-booking-invitation.link/PropertyRental-g6094219/en/543341515

The link appears to be fraudulent and designed to steal personal or financial information.

I was asked to make a bank transfer to:

NAME: Maria Encarnacion Sanchez Perez

IBAN: ES64 2100 6449 1602 0019 5464

BIC: CAIXESBBXXX

BANK: CAIXABANK, S.A.

ADDRESS: DIAGONAL 621 8028 BARCELONA. SPAIN


I received this message via WhatsApp.

Please investigate and take appropriate action."
69,Phishing/Other-Phishing,Phishing/Parcel-Notification-Phishing,"I received a text message from the  number +63 912 199 94038.

I was told that I must pay a fine before 29. September 2025, otherwise I could lose my driver's license.

The link, which I did not click on is:
https://stadt-zuerichab.help/ch-de

To open the link, I am asked to answer 'Ja"" or to copy the link into my browser."
78,Phishing/Other-Phishing,Fraud/Fake-Sextortion/With-Password,"Two hotels in Lausanne area (https://hotelbeaulutry.ch and  https://futurapartments.com/en) had their reservations system hacked. Clients are asked to complete payments or reservation, using fake WhatsApp messages. Messages are impersonating the hotels, and are using correct personal information. Personal data exposed: Name, phone, home address, reservation are confirmed as exposed. Credit cards, residence permit and passport - possibly exposed."
179,Phishing/Other-Phishing,Fraud/Investment-Fraud/Other-Investment-Fraud,"I was the victim of a sophisticated phishing attack. A Mail that took me to a website that appeared to be the official SBB login/verification page prompted me to enter my card details. I believed it was legitimate. I did not knowingly approve or authorize a EUR1499 payment to the merchant Refurbed Marketplace. My Credit Suisse cards have been recently replaced by UBS Credit cards requiring me to update my new card Information for many Sites. I   assumed by mistake that I was being requested to enter my new UBS card Details to replace the Credit Suisse card Details. 







As soon as I realized what happened, I immediately:







blocked my card,

reported the incident to UBS,









This was a deception-based unauthorized transaction. I request full reimbursement under UBS’s fraud-protection policy and Mastercard rules regarding misuse caused by social-engineering fraud."
180,Phishing/Other-Phishing,Phishing/Refund-Phishing,"I have received a mail from ЅВВ СFF FFЅ with e-mail address 

with the following content. The message was not sent to the spam folder and it was mimiquing very well SBB mails



Sehr geehrter Kunde,



Diin Abo isch abg'laufe und muess erneuert wärde. Als Dank für dini Treue bietemer dir 60% Rabatt uf d'nöchst Mitgliedschaft!



Jetza erneuer

Faus di kei Verlängerig wöu, cha's diin Abo do kündige.



SBB CFF FFS

Wylerstrasse 123/125

CH-3000 Bern 65



MwSt-Nummer: CHE-102.90"
